Nom,Prénoms,Date_de_naissance,Ville_de_naissance,Département_de_naissance,Pays,Régiment,Grade,Date_du_décès,Département_de_décès,Lieu_du_décès,Pays_de_décès,nomDptDécès
CABAUP,Maurice,1893-11-11,Alger,,Algeria,80e Infanterie,Soldat,19/08/1914,57,Rorbach-lès-Dieuze,France,Moselle 
CABAUP,Paul Baptiste,1885-10-05,Toulouse,31,France,55e Infanterie,Soldat,07/08/1915,55,Boureuilles,France,Meuse 
CABOS,Jean Marie,1879-10-11,Toulouse,31,France,239e Infanterie,Adjudant Chef,01/08/1917,2,Vauxtin,France,Aisne 
CAHUZAC,Jean,1891-03-20,Fenouillet,31,France,214e Infanterie,Soldat,13/02/1915,55,Bar-le-Duc,France,Meuse 
CAILLARD,Auguste,1890-04-18,Paris,75,France,28e Infanterie,Sergent,26/09/1914,51,Prouilly,France,Marne 
CAILLAVEL,Jean Maurice,1896-01-11,Toulouse,31,France,21e Infanterie,Sergent,06/10/1915,62,Souchez,France,Pas-de-Calais 
CAILLEUX,Eugène Albert,1880-08-30,Béziers,34,France,59e Infanterie,Sous-Lieutenant,23/08/1914,,Paliseul,Belgium,
CAISSAC,Henri Jean,1888-10-04,Montauban,82,France,24e Infanterie Coloniale,Soldat,08/09/1914,51,Frignicourt,France,Marne 
CALAC,François Henri Édouard,1886-12-14,Mauvezin,32,France,204e Infanterie,Soldat,26/06/1917,51,Pontfaverger-Moronvilliers,France,Marne 
CALAC,Pierre Joseph,1894-06-29,Toulouse,31,France,15e Infanterie,Soldat,26/09/1915,51,Massiges,France,Marne 
CALBET,Aimé Joseph,1887-08-25,Toulouse,31,France,88e Infanterie,Soldat,09/05/1915,62,Roclincourt,France,Pas-de-Calais 
CALBET,Auguste Joseph,1896-11-16,Toulouse,31,France,33e Infanterie,Soldat,31/12/1916,51,Somme-Bionne,France,Marne 
CALDAIROU,Pierre Gabriel,1895-10-01,Rumilly,74,France,19e Artillerie de campagne,Sous-Lieutenant,19/10/1917,,Brnik,Slovénia,
CALESTROUPAT,Jules Émile,1896-06-14,Toulouse,31,France,33e Infanterie,Soldat,12/06/1918,2,Laversine,France,Aisne 
CALESTROUPAT,Paul,1891-11-03,Beaumont-sur-Lèze,31,France,83e Infanterie,Soldat,01/02/1917,51,Prosnes,France,Marne 
CALESTROUPAT,Étienne,1873-01-31,Tournefeuille,31,France,133e Infanterie,Soldat,25/10/1918,31,Toulouse,France,Haute-Garonne 
CALLONGE,Pierre Louis Pascal,1891-02-08,Toulouse,31,France,80e Infanterie,Sergent,03/04/1915,51,Suippes,France,Marne 
CALMEL,Prosper Henri,1884-11-05,Toulouse,31,France,214e Infanterie,Soldat,25/09/1914,55,Lacroix-sur-Meuse,France,Meuse 
CALMETTE,François,1894-10-11,Drémil-Lafage,31,France,10e Bataillon Chasseur à pied,Soldat,19/06/1915,62,Aix-Noulette,France,Pas-de-Calais 
CALONGES,Jean,1892-04-18,Toulouse,31,France,80e Infanterie,Sergent,18/07/1915,51,Suippes,France,Marne 
CALUL,Jean Germain Marius,1892-10-08,Pouze,31,France,44e Infanterie,Caporal,13/08/1916,80,Hem-Monacu,France,Somme 
CALVEL,Jules,1883-08-05,Toulouse,31,France,209e Infanterie,Soldat,02/02/1917,51,Mourmelon-le-Petit,France,Marne 
CALVET,Henri Louis,1895-03-24,Toulouse,31,France,33e Infanterie,Soldat,07/08/1915,2,,France,Aisne 
CALVET,Serville Alphonse,1893-06-26,Valdurenque,81,France,80e Infanterie,Soldat,23/09/1914,54,Noviant-aux-Prés,France,Meurthe-et-Moselle 
CALVET,Henri Jean,1893-05-02,Toulouse,31,France,14e Infanterie,Soldat,18/05/1915,31,Toulouse,France,Haute-Garonne 
CALVET,Michel Constant,1891-03-07,Toulouse,31,France,2e Zouaves,Soldat,11/05/1915,62,Neuville-Saint-Vaast,France,Pas-de-Calais 
CALVET,Auguste Joseph,1884-06-07,Toulouse,31,France,14e Infanterie,Caporal,08/09/1914,55,Ippécourt,France,Meuse 
CALVET,Jean Marie,1890-04-11,Drémil-Lafage,31,France,207e Infanterie,Soldat,30/04/1917,51,Châlons-en-Champagne,France,Marne 
CALVET,Jean Marie,1880-02-01,Toulouse,31,France,153e Infanterie,Soldat,11/12/1915,,Langemark-Poelkapelle,Belgium,
CALVET,Eugène,1882-11-16,Labecède-Lauragais,11,France,2e Génie,Soldat,17/12/1917,32,Barran,France,Gers 
CAMAGNE,François,1878-04-13,Rouffiac,31,France,2e Génie,Soldat,11/08/1917,11,Carcassonne,France,Aude 
CAMARADE,Casimir Léon,1892-05-11,Toulouse,31,France,80e Infanterie,Soldat,03/12/1914,,Ypres,Belgium,
CAMBE,Jean Marie,1888-04-29,Toulouse,31,France,15e Infanterie,Soldat,09/11/1914,,Ypres,Belgium,
CAMBEFORT,Gustave René Joseph,1897-01-07,Carcassonne,11,France,7e Génie,Aspirant,20/06/1918,60,Monchy-Humières,France,Oise 
CAMBEFORT,Paul Émile,1869-08-25,Toulouse,31,France,364e Infanterie,Capitaine,10/11/1915,55,Les Éparges,France,Meuse 
CAMBIGUE,Joseph,1897-02-25,Toulouse,31,France,2e Tirailleurs Morocco,Soldat,30/09/1918,51,Ventelay,France,Marne 
CAMBOLIVES,Jean Marie,1894-02-23,Toulouse,31,France,15e Infanterie,Soldat,07/10/1915,51,Gizaucourt,France,Marne 
CAMBON,Pierre Marius Henri,1880-10-01,Carcassonne,11,France,23e Infanterie Coloniale,Soldat,11/12/1914,51,Vienne-le-Château,France,Marne 
CAMBON,Pierre,1885-02-14,Montferrand,11,France,83e Infanterie,Soldat,09/09/1914,55,Ippécourt,France,Meuse 
CAMBOULIVES,Étienne Jean,1894-02-12,Toulouse,31,France,15e Infanterie,Soldat,14/12/1914,,Heuvelland,Belgium,
CAMBOULIVES,Lucien,1892-04-08,Toulouse,31,France,7e Infanterie,Soldat,25/09/1916,54,Manonville,France,Meurthe-et-Moselle 
CAMEL,Louis Joseph,1895-03-01,Saint-Jean,31,France,73e Infanterie,Soldat,12/06/1918,2,Laversine,France,Aisne 
CAMMAGE,Georges Germain Marius,1888-06-15,Toulouse,31,France,3e Artillerie Coloniale,Maréchal des Logis,31/10/1915,51,Souain-Perthes-les Hurlus,France,Marne 
CAMOU,Francis Michel Ernest Paul,1875-10-18,Saint-Girons,9,France,19e Escadron du train des équipages militaires,Maréchal des Logis,21/03/1918,80,Bernes,France,Somme 
CAMPARDON,Alban François,1876-06-03,Loubersan,32,France,136e Infanterie territoriale,Soldat,27/04/1916,55,Vadelaincourt,France,Meuse 
CAMPERGUE,Pierre Louis,1886-01-21,Rabastens,81,France,22e Infanterie Coloniale,Soldat,12/10/1916,80,Belloy-en-Santerre,France,Somme 
CAMPERGUE,Jean André Louis,1892-06-18,Toulouse,31,France,80e Infanterie,Soldat,26/10/1914,54,Luneville,France,Meurthe-et-Moselle 
CAMPISTRON,Paul Louis,1882-08-19,Noë,31,France,96e Infanterie,Soldat,03/11/1914,,Langemark-Poelkapelle,Belgium,
CAMPISTROUS,Gaston Jean Marie,1896-06-30,Valmanya,66,France,283e Infanterie,Adjudant,13/04/1918,60,Mortemer,France,Oise 
CAMPOURCY,Charles Jean,1879-06-14,Toulouse,31,France,11e Infanterie,Soldat,06/01/1915,51,Wargemoulin-Hurlus,France,Marne 
CAMPOURCY,Ferdinand Noël Marie Bertrand,1881-02-25,Toulouse,31,France,81e Infanterie,Caporal,15/03/1916,51,Minaucourt-Le-Mesnil-les-Hurlus,France,Marne 
CAMY,Pierre,1887-05-25,Villanave-d'Ornon,33,France,7e Infanterie Coloniale,1re Classe,20/07/1916,80,Belloy-en-Santerre,France,Somme 
CAMY,Jean Joseph,1895-09-25,Toulouse,31,France,108e Infanterie,Soldat,11/10/1918,,Coni,Italy,
CANAL,Jean Paul Maurice,1888-07-14,Toulouse,31,France,7e Génie,Sous-Lieutenant,20/09/1914,55,Malancourt,France,Meuse 
CANCEL,Jean Marie Étienne,1886-08-03,Montauban,82,France,96e Infanterie,Soldat,06/12/1914,,Ypres,Belgium,
CANCEL,Louis,1884-10-07,Toulouse,31,France,110e Infanterie,Sergent,25/08/1918,2,Crécy-au-Mont,France,Aisne 
CANDEIL,Pierre Jean Marie,1881-12-23,Lagarde,31,France,81e Infanterie,Soldat,03/01/1918,,Poperinge,Belgium,
CANDEIL,Martin Marie,1884-10-29,Juzes,31,France,39e Infanterie,Soldat,09/09/1918,60,Beauvais,France,Oise 
CANDEL,Paul,1887-09-11,Teulat,81,France,281e Infanterie,Soldat,30/01/1915,62,Sailly-Labourse,France,Pas-de-Calais 
CANDELON,Jean Joseph Jacques,1869-06-08,Foix,9,France,2e Infanterie de tirailleurs Algerians,Capitaine,07/09/1914,8,,France,Ardennes 
CANET,Jules Clovis,1896-06-28,Saint-Laurent-Blancy,62,France,3e Génie,Sapeur,06/06/1918,75,Paris,France,Paris 
CANET,Antoine,1879-11-07,Valence,82,France,143e Infanterie,Soldat,02/11/1914,,Heuvelland,Belgium,
CANEZIN,Louis Antoine,1891-04-12,Orléans,45,France,131e Infanterie,Caporal,22/08/1914,54,Gorcy,France,Meurthe-et-Moselle 
CANGUILHEM,Joseph,1885-02-26,Tournefeuille,31,France,63e Artillerie,Soldat,26/03/1919,31,Toulouse,France,Haute-Garonne 
CANIES,Antoine,1877-11-12,Toulouse,31,France,20e Infanterie,Soldat,22/02/1915,51,Vitry-le-François,France,Marne 
CANS,Étienne,1895-11-23,Toulouse,31,France,50e Infanterie,Soldat,01/09/1915,62,Thélus,France,Pas-de-Calais 
CAORS,Jules Augustin,1877-07-20,Toulouse,31,France,220e Infanterie,Caporal,21/12/1914,55,Verdun,France,Meuse 
CAOUE,Pierre,1887-05-07,Toulouse,31,France,296e Infanterie,Soldat,06/06/1915,62,Aix-Noulette,France,Pas-de-Calais 
CAOUE,Émile,1885-01-16,Toulouse,31,France,60e Bataillon de Chasseurs à Pied,Soldat,17/07/1915,62,Drocourt,France,Pas-de-Calais 
CAP,René Joseph,1894-04-12,Puntous,65,France,3e Zouaves,Soldat,17/04/1916,60,Ribécourt-Dreslincourt,France,Oise 
CAPDASE,Antoine,1893-05-26,Seilh,31,France,80e Infanterie,Soldat,20/08/1914,57,Loudrefing,France,Moselle 
CAPDEPON,Emmanuel,1889-06-20,Oloron-Sainte-Marie,64,France,56e Infanterie,Soldat,24/09/1914,54,Flirey,France,Meurthe-et-Moselle 
CAPDEVILLE,Sébastien,1880-08-05,Toulouse,31,France,288e Infanterie,Soldat,06/09/1916,55,Vaux-devant-Damloup,France,Meuse 
CAPDEVILLE,Antoine,1890-04-11,Gagnac-sur-Garonne,31,France,20e Infanterie,Soldat,22/08/1914,,Libin,Belgium,
CAPDEVILLE,Charles,1888-05-13,Toulouse,31,France,53e Infanterie,Sergent,15/12/1914,,Ypres,Belgium,
CAPDEVILLE,Raymond,1898-04-23,Gagnac-sur-Garonne,31,France,41e Infanterie,Soldat,19/07/1918,51,Œuilly,France,Marne 
CAPEL,François,1881-12-24,Toulouse,31,France,218e Artillerie de campagne,Soldat,16/09/1918,60,Mouy,France,Oise 
CAPELET,Félix Jean Pierre,1891-09-21,Toulouse,31,France,143e Infanterie,Soldat,25/09/1917,55,Fromeréville-les-Vallons,France,Meuse 
CAPELLA,Jean Pierre,1889-09-20,Toulouse,31,France,14e Infanterie,Soldat,08/09/1914,51,Courdemanges,France,Marne 
CAPELLE,Marcel Joseph Hippolyte,1893-08-26,Toulouse,31,France,1er Artillerie Mont.,Soldat,12/12/1917,73,Saint-Michel-de-Maurienne,France,Savoie 
CAPELLE,Augustin François,1892-02-18,Saint-Hilaire,31,France,83e Infanterie,Soldat,23/09/1914,54,Bernécourt,France,Meurthe-et-Moselle 
CAPELLE,Pierre,1875-09-18,Toulouse,31,France,2e Génie,Sapeur-mineur,21/02/1917,,Thessalonique,Greece,
CAPELLE,Baptiste Germain,1892-04-03,Toulouse,31,France,80e Infanterie,Soldat,21/12/1914,57,Loudrefing,France,Moselle 
CAPOUL,Honoré Maxime,1881-07-10,Toulouse,31,France,24e Infanterie Coloniale,Soldat,08/09/1914,51,Blaise-sous-Arzillières,France,Marne 
CAPOUL,Jean Julien,1885-10-03,Toulouse,31,France,253e Infanterie,Soldat,02/08/1917,2,Vendresse-Beaulne,France,Aisne 
CAPOULAT,Jean Marie,1893-04-29,Toulouse,31,France,20e Infanterie,Soldat,20/08/1914,57,Cutting,France,Moselle 
CAPPELLE,Léon Joseph Raymond,1899-05-26,Toulouse,31,France,90e Infanterie,Soldat,11/04/1918,80,Rouvrel,France,Somme 
CARABEN,Jacques Marie,1882-03-25,Toulouse,31,France,11e Infanterie,Sergent,23/09/1914,31,Toulouse,France,Haute-Garonne 
CARALP,Adolphe Ernest,1891-09-07,Toulouse,31,France,80e Infanterie,Sergent,30/09/1915,51,Massiges,France,Marne 
CARAMAN,Jacques Julien Louis,1896-06-06,Auzeville-Tolosane,31,France,164e Infanterie,Soldat,17/07/1917,51,Pontfaverger-Moronvilliers,France,Marne 
CARAYON,René Joseph Paul,1895-09-12,Toulouse,31,France,3e bis Zouaves,Sergent,26/10/1918,8,Saint-Fergeux,France,Ardennes 
CARAYON,Jules Félix,1873-05-03,Roquecourbe,81,France,133e Infanterie territoriale,Soldat,10/08/1915,68,Michelbach,France,Haut-Rhin 
CARAYON de TALPEYRAC,Jacques Marie Joseph,1862-07-28,Toulouse,31,France,214e Infanterie,Chef de Bataillon,07/03/1916,55,Cumières-le-Mort-Homme,France,Meuse 
CARBONNEAU,Célestin Jules,1897-12-12,Toulouse,31,France,7e Infanterie Coloniale,Soldat,01/08/1916,80,Marcelcave,France,Somme 
CARBONNEAU,Maurice Étienne,1888-04-21,Toulouse,31,France,37e Infanterie Coloniale,Adjudant Chef,21/02/1916,80,Massiges,France,Somme 
CARBONNEL,Gabriel Marie Joseph,1892-12-09,Toulouse,31,France,80e Infanterie,Soldat,20/08/1914,57,Loudrefing,France,Moselle 
CARBOU,Louis Marius Mathieu,1894-01-25,Toulouse,31,France,118e Infanterie,Soldat,16/08/1916,2,Berry-au Bac,France,Aisne 
CARCASSES,Guillaume,1874-01-04,Montlaur,31,France,133e Infanterie territoriale,Soldat,26/08/1917,68,Neuf-Brisach,France,Haut-Rhin 
CARICHOU,Charles,1876-02-11,Puerto Cabello,,Venezuela,212e Artillerie de campagne,Adjudant,11/10/1918,51,Vitry-le-François,France,Marne 
CARIE,Maurice,1883-02-14,Toulouse,31,France,36e Infanterie Coloniale,Caporal,19/07/1916,80,Barleux,France,Somme 
CARLA,Jean Marie,1891-04-16,Toulouse,31,France,245e Infanterie,Soldat,15/09/1917,55,Verdun,France,Meuse 
CARLES,Henri,1889-10-03,Toulouse,31,France,7e Infanterie,Soldat,27/08/1914,8,Angecourt,France,Ardennes 
CARLES,Jean Louis,1883-06-03,Toulouse,31,France,14e Infanterie,Sergent,27/06/1916,55,Verdun,France,Meuse 
CAROL,Émile,1884-06-11,Carcassonne,11,France,296e Infanterie,Sergent major,30/10/1915,62,Marœuil,France,Pas-de-Calais 
CAROL,Émile,1892-04-06,Varilhes,9,France,59e Infanterie,Caporal,22/08/1914,,Bertrix,Belgium,
CARPENTIER,Antonin Louis,1882-07-19,Toulouse,31,France,81e Infanterie,Soldat,08/08/1916,55,Douaumont,France,Meuse 
CARPIS,Lucien Pierre,1894-03-22,Esperce,31,France,15e Infanterie,Sergent,23/09/1917,55,Cumières-le-Mort-Homme,France,Meuse 
CARRERE,Raoul Marcel Fernand,1893-03-23,Lannemezan,65,France,89e Infanterie,Sous-Lieutenant,28/02/1915,55,Vauquois,France,Meuse 
CARRERE,Émile,1891-06-09,Nissan-lèz-Ensérune,34,France,80e Infanterie,Soldat,20/08/1914,57,Rorbach-lès-Dieuze,France,Moselle 
CARRERE,Jean,1896-06-10,Toulouse,31,France,7e Infanterie,Soldat,11/06/1915,82,Lamagistère,France,Tarn-et-Garonne 
CARRERE,Dominique Gilbert,1882-03-08,Puymaurin,31,France,34e Coloniale,Caporal,18/11/1914,55,Chauvoncourt,France,Meuse 
CARRERE,Gaston Auguste,1897-03-30,Toulouse,31,France,171e Infanterie,Soldat,27/10/1918,31,Toulouse,France,Haute-Garonne 
CARRERE,Georges Jean Julien,1898-06-08,Toulouse,31,France,11e Infanterie,Soldat,18/10/1918,2,Mont-d'Origny,France,Aisne 
CARRERE,Pierre Marius,1896-11-08,Toulouse,31,France,60e Infanterie,Soldat,10/04/1917,51,Hermonville,France,Marne 
CARRERE,Jacques Marie Joseph Léon,1892-05-15,Montpellier,34,France,78e Infanterie,Sous-Lieutenant,27/09/1914,51,Vitry-le-François,France,Marne 
CARRERY,Pierre Jacques,1892-11-04,Toulouse,31,France,23e Artillerie,Brigadier,27/09/1914,51,Somme-Suippe,France,Marne 
CARRETIER,Jean,1879-11-06,Roques,31,France,14e Infanterie,Soldat,17/05/1915,62,Souchez,France,Pas-de-Calais 
CARRETIER,Eugène,1894-07-01,Toulouse,31,France,15e Infanterie,Sergent major,04/05/1918,,La Clytte,Belgium,
CARRIE,Jean,1877-02-24,Mondonville,31,France,20e Infanterie,Soldat,16/02/1915,51,Souain-Perthes-les Hurlus,France,Marne 
CARRIE,Paul Isidore,1885-04-04,Verfeil,31,France,11e Infanterie,Caporal,19/04/1917,51,Pontfaverger-Moronvilliers,France,Marne 
CARRIE,Raymond François Julien,1898-03-25,Villefranche-de-Rouergue,12,France,5e Tirailleurs Senegalais,Soldat,03/10/1918,51,Reims,France,Marne 
CARRIERE,Antoine Lucien,1892-01-03,Toulouse,31,France,80e Infanterie,Sergent,23/07/1915,51,Massiges,France,Marne 
CARRIERE,Georges Pierre,1883-08-31,Toulouse,31,France,96e Infanterie,Caporal,08/11/1914,,Langemark-Poelkapelle,Belgium,
CARRIERE,Pierre,1872-07-26,Toulouse,31,France,133e Infanterie territoriale,Soldat,10/08/1915,68,Michelbach,France,Haut-Rhin 
CARRIERE,Joseph,1891-07-12,Toulouse,31,France,1er Infanterie coloniale Morocco,Soldat,24/10/1916,55,Douaumont,France,Meuse 
CARRIERE,Marcel Raymond Maurice,1893-01-23,Foix,9,France,68e Bataillon de chasseurs,Sergent,16/10/1916,80,Sailly-Saillisel,France,Somme 
CARRIERE,Charles Constant,1895-06-15,Foix,9,France,213e Infanterie,Soldat,22/07/1917,2,Craonne,France,Aisne 
CARRIERE,Guillaume Mathieu,1892-09-11,Toulouse,31,France,80e Infanterie,Soldat,26/09/1914,54,Hériménil,France,Meurthe-et-Moselle 
CARRON,Maurice Laurent,1890-06-11,Toulouse,31,France,3e Artillerie de campagne,Maréchal des Logis,12/08/1917,55,Cumières-le-Mort-Homme,France,Meuse 
CARROSSE,Antoine Louis Victor,1895-02-05,Revel,31,France,401e Infanterie,Soldat,18/09/1918,2,Dallon,France,Aisne 
CASENEUVE,Joseph Noël Augustin,1895-10-11,Toulouse,31,France,140e Infanterie,Adjudant,19/03/1916,55,Verdun,France,Meuse 
CASENEUVE,Victor Joseph Marius,1894-04-04,Toulouse,31,France,23e Infanterie,Sergent,21/03/1917,51,Châlons-en-Champagne,France,Marne 
CASSAGNAU,Médéric Jules Jean,1890-11-01,Toulouse,31,France,80e Infanterie,Caporal,18/03/1915,51,Minaucourt-Le-Mesnil-les-Hurlus,France,Marne 
CASSAGNAVERES,Bernard Louis Edmond,1891-07-30,Toulouse,31,France,14e Infanterie,Caporal,08/09/1915,51,Vienne-le-Château,France,Marne 
CASSAGNE,Antoine,1885-03-19,Castelginest,31,France,280e Infanterie,Caporal,18/12/1914,62,Auchy-les-Mines,France,Pas-de-Calais 
CASSAGNE,Émile Baptiste Sadi,1890-10-16,Marseille,13,France,15e Escadron du train des équipages militaires,Brigadier,28/12/1918,,Itéa,Greece,
CASSAGNE,Paul Marius,1884-03-20,Toulouse,31,France,296e Infanterie,Caporal,06/06/1915,62,Aix-Noulette,France,Pas-de-Calais 
CASSAGNE,Marcel Jean Alexis,1891-08-15,Toulouse,31,France,9e Artillerie de campagne,Maître pointeur,05/03/1916,80,Framerville,France,Somme 
CASSAGNE,Paul Noël,1876-12-25,Toulouse,31,France,283e Infanterie,Soldat,06/03/1916,55,Charny-sur-Meuse,France,Meuse 
CASSAING,Fernand Philippe Jean,1895-06-24,Toulouse,31,France,75e Infanterie,Sergent,05/03/1916,55,Fleury-devant-Douaumont,France,Meuse 
CASSAN,Antoine,1877-09-30,Toulouse,31,France,133e Infanterie territoriale,Soldat,21/01/1916,68,Michelbach,France,Haut-Rhin 
CASSAN,François,1881-08-26,Maurens,31,France,214e Infanterie,Soldat,24/09/1914,55,Lacroix-sur-Meuse,France,Meuse 
CASSANA,Sébastien,1875-02-18,Toulouse,31,France,360e Infanterie,Soldat,02/04/1916,55,Fleury-devant-Douaumont,France,Meuse 
CASSANY de MAZET,Roch Pierre Léon Hugues,1892-03-10,Villeneuve-sur-Lot,47,France,8e Bataillon Tirailleurs Moroccoains,Sergent,18/07/1918,2,Pernant,France,Aisne 
CASSAS,Jean Antoine,1887-04-18,Toulouse,31,France,7e Infanterie,Adjudant,15/09/1914,30,Nîmes,France,Gard 
CASSE,Barthélémy Maximilien,1891-03-12,Pamiers,9,France,80e Infanterie,Soldat,03/11/1914,,Heuvelland,Belgium,
CASSE,Jean Raymond,1896-04-07,Brugnieres,31,France,139e Infanterie,Soldat,04/09/1916,80,Chaulnes,France,Somme 
CASSE,Jean,1886-12-07,Colomiers,31,France,281e Infanterie,Soldat,12/06/1915,62,Nœux-les-Mines,France,Pas-de-Calais 
CASSOU,André François,1879-03-31,Toulouse,31,France,209e Infanterie,Soldat,12/02/1915,51,Souain-Perthes-les Hurlus,France,Marne 
CASTAGNE,Laurent,1891-07-20,Ourbeille,65,France,5e Escadron du Train,Soldat,21/03/1917,,Florina,Greece,
CASTAIGNEDE,Julien,1895-10-18,Aucamville,31,France,129e Infanterie,Soldat,22/01/1916,80,Harbonnières,France,Somme 
CASTAING,Evremond,1892-01-26,Foix,9,France,416e Infanterie,Soldat,30/07/1916,55,Eix,France,Meuse 
CASTAING,Jean,1882-02-18,Lézat-sur-Lèze,9,France,42e Infanterie,Soldat,12/11/1914,2,Nouvron-Vingré,France,Aisne 
CASTANET,Lucien Raymond,1893-01-03,Bordeaux,33,France,80e Infanterie,Soldat,16/12/1914,,Poperinge,Belgium,
CASTEL,François Léon,1894-11-14,Montberaud,31,France,401e Infanterie,Sergent,29/01/1916,68,Gildwiller,France,Haut-Rhin 
CASTEL,Georges Marius Ernest,1894-06-23,Toulouse,31,France,7e Zouaves Marche,Sous-Lieutenant,29/05/1915,,Ypres,Belgium,
CASTEL,Étienne,1887-09-05,Toulouse,31,France,59e Infanterie,Soldat,17/04/1917,51,Pontfaverger-Moronvilliers,France,Marne 
CASTEL,Louis,1872-08-29,Toulouse,31,France,2e Chasseurs d'Afrique,Maréchal des Logis,18/09/1917,,Taza,Morocco,
CASTELL,Jules,1895-07-05,Toulouse,31,France,8e Infanterie,Soldat,12/09/1916,80,Combles,France,Somme 
CASTELLE,Eugène Jean Joseph,1897-03-30,Maureville,31,France,1er Infanterie,Soldat,31/07/1917,,Zuidschote,Belgium,
CASTELNAU,Émile,1889-04-27,Septfonds,82,France,15e Infanterie,Soldat,29/12/1914,,Poperinge,Belgium,
CASTERAS,Marcel René Émile Théodore,1893-12-09,Toulouse,31,France,80e Infanterie,Sergent,03/05/1916,2,Soissons,France,Aisne 
CASTERAS,Pierre,1880-02-09,Saint-Ybars,9,France,11e Infanterie,Soldat,24/08/1917,31,Toulouse,France,Haute-Garonne 
CASTERES,Augustin Gontrand Marius Zacharie Hubert Timothée Napoléon,1886-07-19,Muret,31,France,281e Infanterie,Soldat,03/12/1914,62,Vermelles,France,Pas-de-Calais 
CASTET,Pierre Louis,1890-02-02,Toulouse,31,France,83e Infanterie,Sergent,11/06/1916,62,Arras,France,Pas-de-Calais 
CASTEX,Marius,1893-11-18,Toulouse,31,France,80e Infanterie,Adjudant,11/07/1915,51,Souain-Perthes-les Hurlus,France,Marne 
CASTEX,Paul Jean,1898-12-11,Toulouse,31,France,170e Infanterie,Soldat,27/09/1918,51,Sommepy-Tahure,France,Marne 
CASTEX,Jean,1876-09-26,Muret,31,France,79e Infanterie,Caporal fourrier,06/04/1918,2,Sinceny,France,Aisne 
CASTEX,Adolphe Julien,1884-03-14,Toulouse,31,France,59e Infanterie,Sergent,09/05/1915,62,Arras,France,Pas-de-Calais 
CASTEX,Michel Paul,1887-12-15,Toulouse,31,France,7e Marche de Zouaves,Sergent major,23/04/1915,,Ypres,Belgium,
CASTIES,Pierre,1883-04-18,Lias,32,France,116e Artillerie lourde,2e Canonnier servant,09/08/1916,80,Frise,France,Somme 
CASTRES,Bernard,1881-01-13,Gargas,31,France,17e Escadron du train des équipages militaires,2e Conducteur,20/08/1917,55,Fleury-devant-Douaumont,France,Meuse 
CASTRES,Jean Pierre,1880-01-11,Carcassonne,11,France,117e Artillerie lourde,Maréchal des Logis,24/06/1918,47,Agen,France,Lot-et-Garonne 
CASTRES-GAMELCY,Henri Marie Dominique,1889-02-02,Toulouse,31,France,9e Chasseurs,Cavalier 2e classe,19/08/1915,29,Quimper,France,Finistère 
CATALA,Albert Jean,1891-11-28,Toulouse,31,France,80e Infanterie,Adjudant,04/12/1914,,Ypres,Belgium,
CATALA,Michel,1891-04-23,Avignon,84,France,20e Chasseurs à cheval,Maréchal des Logis,10/10/1914,59,Ennetières-en-Weppes,France,Nord 
CATALA,Émile Auguste,1880-09-20,Toulouse,31,France,31e Bataillon de chasseurs à pied,Caporal,30/08/1918,2,Versigny,France,Aisne 
CATALA,Alphonse Joseph,1872-08-02,Toulouse,31,France,16e Artillerie de Campagne,Armurier,31/03/1918,32,Barran,France,Gers 
CATALA,Théophile Charles Paul Joseph,1888-08-12,Artigat,9,France,69e Infanterie,Lieutenant,26/08/1914,54,Vitrimont,France,Meurthe-et-Moselle 
CATEL,Charles Louis Victor,1894-11-14,Béat,31,France,15e Infanterie,Soldat,15/12/1914,,Heuvelland,Belgium,
CATHALA,Léon Henri,1885-07-09,Albi,81,France,24e Infanterie Coloniale,Soldat,02/07/1916,80,Dompierre-Becquincourt,France,Somme 
CATHALA,Séverin Benoît Joseph,1872-03-21,Toulouse,31,France,10e Artillerie à pied,2e Canonnier,07/10/1918,20,Bonifacio,France,
CATHALA,Jean Marie,1894-03-10,Toulouse,31,France,15e Infanterie,Soldat,06/11/1918,,Cologne,Germany,
CATHALA,Philippe,1883-03-22,Gauré,31,France,4e Zouaves de Marche,Soldat,31/08/1918,60,Morlincourt,France,Oise 
CATHARY,Marcel Henri,1894-11-19,Barbaira,11,France,12e Infanterie,Sous-Lieutenant,28/11/1914,55,Louvemont-Côte-du-Poivre,France,Meuse 
CATUSSE,Émilien,1891-09-11,Toulouse,31,France,6e Infanterie Coloniale,Soldat,10/11/1918,55,Ornes,France,Meuse 
CAU,Bernard Marius,1891-09-30,Toulouse,31,France,6e Infanterie Coloniale,Caporal,03/10/1915,51,Bussy-le-Château,France,Marne 
CAU,Louis Marie,1887-03-22,Puycastier,32,France,88e Infanterie,Sergent major,26/01/1916,62,Arras,France,Pas-de-Calais 
CAU,Thomas Gustave,1885-07-24,Sentenac,9,France,11e Bataillon de chasseurs,Soldat,23/08/1915,68,Orbey,France,Haut-Rhin 
CAU,Antoine François,1890-10-03,Toulouse,31,France,83e Infanterie,Soldat,05/01/1919,71,Paray-le-Monial,France,Saône-et-Loire 
CAU,Pierre,1883-01-15,Toulouse,31,France,14e Infanterie,Soldat,20/12/1914,51,Souain-Perthes-les Hurlus,France,Marne 
CAUBERE,Paul Antoine,1881-05-22,L'Isle-Jourdain,32,France,7e Infanterie Coloniale,Sous-Lieutenant,20/07/1916,80,Belloy-en-Santerre,France,Somme 
